
1,Asus ROG ZEPHYRUS G14,"Dynamic and ready to travel, the pioneering ROG Zephyrus G14 is the world’s most powerful 14-inch Windows 10 Pro gaming laptop. Live life at Zephyrus speed with a light and portable gaming laptop, and be active anywhere.",62295.00,,laptop
2,Acer Predator Helios Neo 16,"Unleash the future of gaming with the Predator Helios Neo 16. Dive into a neon-lit world with cutting-edge specs, AI-powered graphics, NVIDIA DLSS 3.5, and unique mysteries waiting to be unlocked.",74550.00,,laptop
3,Apple MacBook Air 13-inch M1 Chip with 8‑Core CPU and 7‑Core GPU 256 GB Storage,"The Apple MacBook Air 13-inch with M1 Chip combines blazing-fast performance with impressive energy efficiency, thanks to its 8-core CPU and 7-core GPU. With ample 256GB storage, it delivers seamless multitasking and stunning graphics, making it an ideal companion for both work and entertainment.",45390.00,,laptop
4,Razer Blade 17 Gaming Laptop Intel Core i7-11800H 8-Core + 4.6GHz + RTX 3070,"The Razer Blade 17 Gaming Laptop packs an Intel Core i7-11800H 8-Core processor and an NVIDIA RTX 3070, delivering outstanding gaming performance in a sleek, portable design.",84075.00,,laptop
5,HUAWEI MateBook D 15 2022 Laptop,"The HUAWEI MateBook D 15 2022 Laptop features an Intel Core i5-1155G7 processor, 8GB RAM, and 256GB storage on a vibrant FullView Display, with a Fingerprint Power Button and Super Device capabilities for added convenience.",28999.00,,laptop
6,Dell XPS 13 Laptop,"Experience powerful performance with the Lenovo IdeaPad Slim 5i Laptop, featuring an Intel Core i5-1135G7 processor and 8GB RAM, alongside a spacious 512GB SSD for smooth multitasking. Its vibrant 14"" Full HD display and sleek design make it perfect for both work and entertainment, all at a competitive price of 45,000 pesos.",45000.00,,laptop
7,Apple iPhone 12,"iPhone 12 pushes everything forward with superfast 5G.1 A14 Bionic, the fastest chip in a smartphone. A new dual-camera system. And a beautiful Super Retina XDR display, so you can see everything in vivid detail.",30990.00,,phone
8,Apple iPhone 14 (6.1 inch),"iPhone 14 offer exciting new options with the popular 6.1-inch size. A15 Bionic with 5-core GPU provides amazing performance and even better graphics. iPhone 14 feature a huge upgrade to the camera system, including a new Main camera with a larger sensor for great shots in all lighting scenarios, a new front camera with autofocus, Photonic Engine for improved low-light photos, and Action mode for extra smooth handheld videos.",39890.00,,phone
9,Apple iPhone 13,iPhone 13. The most advanced dual-camera system ever on iPhone. Lightning-fast A15 Bionic chip. A big leap in battery life. Durable design. Super-fast 5G.1 And a brighter Super Retina XDR display.,33090.00,,phone
10,Samsung Galaxy A15 Smartphone,"The Samsung Galaxy A15 is a mid-range smartphone offering from Samsung, known for its balance of performance and affordability. With its sleek design and decent specifications, the A15 aims to provide a solid user experience without breaking the bank. Key features typically include a large display, a capable camera system, reliable performance for everyday tasks, and a long-lasting battery.",12090.00,,phone
11,Samsung Galaxy A73 5G,"The product listed has box slightly dirt. However, the item inside the box is still sealed and in good condition. Rest assured that the actual item inside the box is NEW or untouched.",27990.00,,phone
12,Redmi 10 2022,The Redmi 10 (2022) features a modern and sleek design with slim bezels surrounding the display. It's available in various color options to suit different preferences.,69696.00,,phone
13,PlayStation®5,"Experience lightning-fast loading with an ultra-high-speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",25000.00,,console
14,Xbox Series X,"Explore the next generation of gaming with speed and performance powered by a custom-designed processor leveraging AMD's latest Zen 2 and RDNA 2 architectures, unmatched visuals with hardware-accelerated DirectX Raytracing, and more.",25000.00,,console
15,Nintendo Switch,"Enjoy gaming on the go or at home with the versatile Nintendo Switch, offering a unique hybrid design that seamlessly transitions between handheld and docked modes, along with a vast library of iconic Nintendo titles.",15000.00,,console
